"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
18026589500734127,17841462061241309,futcontroverso,"Fut Controverso","Gramado Sintético: Vilão ou Desculpa Esfarrapada? #neymar #futebol #Corinthians #flamengo #palmeiras",44,"10/10/2025 06:02",https://www.instagram.com/reel/DPoTIt5jBgt/,"Reel do Instagram",,Total,301,272,5,0,0,0,0
18048130802371660,17841462061241309,futcontroverso,"Fut Controverso","Palmeiras ou Flamengo ? quem é o melhor ? #palmeiras #futebol #flamengo #futebolbrasileiro #libertadores",36,"10/27/2025 10:01",https://www.instagram.com/reel/DQUf5jCCBhp/,"Reel do Instagram",,Total,1562,1260,39,0,1,5,1
18070225202261242,17841462061241309,futcontroverso,"Fut Controverso","Palmeiras contra Flamengo, quem é o melhor ? #flamengo #palmeiras #brasileirão #futebol #futebolbrasileiro",47,"10/20/2025 06:02",https://www.instagram.com/reel/DQCC_ZUgU7z/,"Reel do Instagram",,Total,163,145,2,0,0,0,0
18030264878735079,17841462061241309,futcontroverso,"Fut Controverso","Jogadores de Futebol: Escravos dos Contratos? #futebol #futebolbrasileiro #neymar #santos #flamengo",49,"10/19/2025 14:01",https://www.instagram.com/reel/DQAVC2dFEO3/,"Reel do Instagram",,Total,1229,1090,43,4,0,2,0
18101353162713521,17841462061241309,futcontroverso,"Fut Controverso","Neymar no mercado! #neymar #futebol #futebolbrasileiro #Corinthians #palmeiras #santos",41,"10/19/2025 09:01",https://www.instagram.com/reel/DP_ywBPgQ3k/,"Reel do Instagram",,Total,1391,1155,42,0,0,2,0
18087314393306332,17841462061241309,futcontroverso,"Fut Controverso","Qual é sua desculpa depois de errar um pênalti ? #futebol #futebolbrasileiro #messi #cr7 #neymar",79,"10/18/2025 13:01",https://www.instagram.com/reel/DP9pYRVDlln/,"Reel do Instagram",,Total,2223,1684,117,5,3,3,2
17936742119963018,17841462061241309,futcontroverso,"Fut Controverso","Corinthians não é mais o mesmo ? #futebol #Corinthians #neymar #santos #libertadores #brasileirao",36,"10/17/2025 11:02",https://www.instagram.com/reel/DP62-gNjtXy/,"Reel do Instagram",,Total,2041,1528,102,31,3,2,1
18101239399728284,17841462061241309,futcontroverso,"Fut Controverso","Qual é a torcida mais chora ? #futebol #flamengo #Corinthians #palmeiras #santos #sãopaulo #Internacional #botafogo #Fluminense",32,"10/16/2025 13:00",https://www.instagram.com/reel/DP4fu6pjIsC/,"Reel do Instagram",,Total,10301,7571,226,42,6,41,7
18110397157575091,17841462061241309,futcontroverso,"Fut Controverso","Quem tem a maior torcida? #futebol #neymarjr #neymar #Corinthians #flamengo",36,"10/14/2025 17:24",https://www.instagram.com/reel/DPz0VWej5tg/,"Reel do Instagram",,Total,10743,6968,304,41,19,59,29
18531079627043888,17841462061241309,futcontroverso,"Fut Controverso","5 compras do Neymar #neymar #futebol #neymarjr #santos #CristianoRonaldo",91,"10/13/2025 15:01",https://www.instagram.com/reel/DPw_KVCiFgZ/,"Reel do Instagram",,Total,272,231,6,0,0,0,0
18380595994179008,17841462061241309,futcontroverso,"Fut Controverso","VAR: O Vilão que Ninguém Pediu #neymar #futebol #Corinthians #flamengo #palmeiras",49,"10/11/2025 13:01",https://www.instagram.com/reel/DPrnzY7DWMS/,"Reel do Instagram",,Total,1352,1141,47,0,2,4,2
18065603672077173,17841462061241309,futcontroverso,"Fut Controverso","Quem é o Melhor Ponta do Mundo?
#MelhorPonta #Futebol #AnaliseFutebol #ViniJr #Mbappe #Saka #HumorNoFutebol #neymar #messi #cristianoronaldo",60,"10/11/2025 10:01",https://www.instagram.com/reel/DPrTPtyDKCr/,"Reel do Instagram",,Total,1420,1267,33,0,1,1,0
17969636828957553,17841462061241309,futcontroverso,"Fut Controverso","CBF divulgou os áudios #saopaulo #palmeiras #futebol #brasileirão",108,"10/11/2025 06:02",https://www.instagram.com/reel/DPq31MBiFCB/,"Reel do Instagram",,Total,169,154,1,0,2,0,0
18220883374307502,17841462061241309,futcontroverso,"Fut Controverso","Torcida Única: A 'Solução' Que Matou o Futebol? #neymar #futebol #Corinthians #flamengo #palmeiras",59,"10/10/2025 13:02",https://www.instagram.com/reel/DPpDIZVAbp2/,"Reel do Instagram",,Total,348,279,6,1,0,0,0
18081517369978651,17841462061241309,futcontroverso,"Fut Controverso","Palmeiras tem Mundial? #mundialdeclubes #palmeiras #futebol #neymar #Corinthians #flamengo",57,"10/10/2025 07:01",https://www.instagram.com/reel/DPoZ0tXDydS/,"Reel do Instagram",,Total,184,146,1,2,0,0,0
