Origem do tráfego,Visualizações intencionais,Porcentagem visualizada média (%),Hypes,Pontos de hype,Visualizações,Tempo de exibição (horas),Duração média da visualização,Impressões,Taxa de cliques de impressões (%)
Total,42617,71.06,0,0,64194,348.3269,0:00:28,8740,7.93
Feed dos Shorts,39299,72.03,0,0,59383,319.6916,0:00:28,,
Pesquisa do YouTube,1663,74.57,0,0,2347,13.9985,0:00:29,1442,6.03
Páginas do canal,1009,63.71,0,0,1628,9.3276,0:00:32,2668,7.12
Recursos de navegação,416,72.62,0,0,558,3.5648,0:00:30,3638,10.31
Outros recursos do YouTube,88,58.52,0,0,110,0.5622,0:00:22,,
Shorts relacionados,40,3.38,0,0,47,0.1933,0:00:17,,
Vídeos sugeridos,31,73.71,0,0,37,0.3426,0:00:39,747,3.75
Playlists,25,73.61,0,0,25,0.2135,0:00:30,245,5.31
Externa,22,78.46,0,0,27,0.1929,0:00:31,,
Origem direta ou desconhecida,13,104.43,0,0,13,0.1395,0:00:38,,
Páginas de hashtag,8,80.86,0,0,15,0.0687,0:00:29,,
Feed vertical ao vivo,2,110.71,0,0,2,0.0215,0:00:38,,
Páginas de música,1,102.97,0,0,4,0.011,0:00:38,,
