País,Visualizações intencionais,Inscritos,Porcentagem visualizada média (%),Continuaram assistindo (%),Inscrições obtidas,Inscrições perdidas,"Marcações ""Gostei""","Marcações ""Não gostei""","""Gostei"" (vs. ""Não gostei"") (%)",Compartilhamentos,Comentários adicionados,Visualizações,Tempo de exibição (horas),Duração média da visualização
Total,42617,186,71.06,65.71,229,43,1954,74,96.35,56,61,64194,348.3269,0:00:28
BR,39670,121,72.31,65.51,121,0,1837,34,98.18,0,23,60487,327.285,0:00:29
PT,716,0,64.32,65.72,0,0,11,0,100,0,0,1055,5.3905,0:00:26
AR,124,0,64.03,70.86,0,0,0,0,,0,0,158,0.8,0:00:22
US,98,0,74.98,80.33,0,0,0,0,,0,0,98,0.7102,0:00:26
AO,93,0,69.81,81.58,0,0,0,0,,0,0,114,0.7063,0:00:26
MX,86,0,73.68,70.49,0,0,0,0,,0,0,86,0.6219,0:00:26
IT,72,0,80.47,78.02,0,0,0,0,,0,0,72,0.5648,0:00:28
CO,58,0,69.28,68.24,0,0,0,0,,0,0,58,0.3951,0:00:24
ID,53,0,71.22,75.71,0,0,0,0,,0,0,53,0.367,0:00:24
MZ,49,0,78.55,83.05,0,0,0,0,,0,0,55,0.403,0:00:29
ES,42,0,56.95,77.78,0,0,0,0,,0,0,42,0.2359,0:00:20
FR,38,0,63.83,79.17,0,0,0,0,,0,0,38,0.2364,0:00:22
PE,37,0,76.81,77.08,0,0,0,0,,0,0,37,0.2763,0:00:26
DE,36,0,78.73,75,0,0,0,0,,0,0,36,0.276,0:00:27
CL,35,0,54.21,77.78,0,0,0,0,,0,0,35,0.1858,0:00:19
IR,33,0,119.44,94.29,0,0,0,0,,0,0,33,0.3832,0:00:41
TR,33,0,70.56,80.49,0,0,0,0,,0,0,33,0.227,0:00:24
TH,32,0,88.75,88.89,0,0,0,0,,0,0,32,0.2761,0:00:31
RU,29,0,81.61,90.63,0,0,0,0,,0,0,29,0.2305,0:00:28
PL,28,0,72.65,96.55,0,0,0,0,,0,0,28,0.1978,0:00:25
JP,13,0,69.35,26.53,0,0,0,0,,0,0,13,0.0886,0:00:24
UZ,13,0,50.55,72.22,0,0,0,0,,0,0,13,0.0639,0:00:17
PY,12,0,88.63,92.31,0,0,0,0,,0,0,12,0.1034,0:00:31
BO,11,0,53.79,64.71,0,0,0,0,,0,0,11,0.0587,0:00:19
HN,11,0,53.88,78.57,0,0,0,0,,0,0,11,0.0591,0:00:19
EC,10,0,49.97,100,0,0,0,0,,0,0,10,0.0497,0:00:17
